
1,Pinkish white
2,Very pale pink
3,Pale pink
4,Light pink
5,Light brilliant red
6,Luminous vivid red
7,Pinkish gray
8,Pale, grayish pink
9,Pink
10,Brilliant red
11,Vivid red
12,Reddish gray
13,Grayish red
14,Moderate red
15,Strong red
16,Reddish brownish gray
17,Dark grayish reddish brown
18,Reddish brown
19,Deep reddish brown
20,Reddish brownish black
21,Very reddish brown
22,Very deep reddish brown
23,Pale scarlet
24,Very light scarlet
25,Light brilliant scarlet
26,Luminous vivid scarlet
27,Light scarlet
28,Brilliant scarlet
29,Vivid scarlet
30,Moderate scarlet
31,Strong scarlet
32,Dark scarlet
33,Deep scarlet
34,Very pale vermilion
35,Pale vermilion
36,Very light vermilion
37,Light brilliant vermilion
38,Luminous vivid vermilion
39,Pale, light grayish vermilion
40,Light vermilion
41,Brilliant vermilion
42,Vivid vermilion
43,Grayish vermilion
44,Moderate vermilion
45,Strong vermilion
46,Dark grayish vermilion
47,Dark vermilion
48,Deep vermilion
49,Pale tangelo
50,Very light tangelo
51,Light brilliant tangelo
52,Luminous vivid tangelo
53,Light tangelo
54,Brilliant tangelo
55,Vivid tangelo
56,Moderate tangelo
57,Strong tangelo
58,Dark tangelo
59,Deep tangelo
60,Very pale orange
61,Pale orange
62,Very light orange
63,Light brilliant orange
64,Luminous vivid orange
65,Pale, light grayish brown
66,Light orange
67,Brilliant orange
68,Vivid orange
69,Grayish brown
70,Moderate orange
71,Strong orange
72,Dark grayish brown
73,Brown
74,Deep brown
75,Very brown
76,Very deep brown
77,Pale gamboge
78,Very light gamboge
79,Light brilliant gamboge
80,Luminous vivid gamboge
81,Light gamboge
82,Brilliant gamboge
83,Vivid gamboge
84,Moderate gamboge
85,Strong gamboge
86,Dark gamboge
87,Deep gamboge
88,Very pale amber
89,Pale amber
90,Very light amber
91,Light brilliant amber
92,Luminous vivid amber
93,Pale, light grayish amber
94,Light amber
95,Brilliant amber
96,Vivid amber
97,Grayish amber
98,Moderate amber
99,Strong amber
100,Dark grayish amber
101,Dark amber
102,Deep amber
103,Pale gold
104,Very light gold
105,Light brilliant gold
106,Luminous vivid gold
107,Light gold
108,Brilliant gold
109,Vivid gold
110,Moderate gold
111,Strong gold
112,Dark gold
113,Deep gold
114,Yellowish white
115,Very pale yellow
116,Pale yellow
117,Very light yellow
118,Light brilliant yellow
119,Luminous vivid yellow
120,Light yellowish gray
121,Pale, light grayish olive
122,Light yellow
123,Brilliant yellow
124,Vivid yellow
125,Yellowish gray
126,Grayish olive
127,Moderate olive
128,Strong olive
129,Dark olivish gray
130,Dark grayish olive
131,Dark olive
132,Deep olive
133,Yellowish black
134,Very dark olive
135,Very deep olive
136,Pale apple green
137,Very light apple green
138,Light brilliant apple green
139,Luminous vivid apple green
140,Light apple green
141,Brilliant apple green
142,Vivid apple green
143,Moderate apple green
144,Strong apple green
145,Dark apple green
146,Deep apple green
147,Very pale lime green
148,Pale lime green
149,Very light lime green
150,Light brilliant lime green
151,Luminous vivid lime green
152,Pale, light grayish lime green
153,Light lime green
154,Brilliant lime green
155,Vivid lime green
156,Grayish lime green
157,Moderate lime green
158,Strong lime green
159,Dark grayish lime green
160,Dark lime green
161,Deep lime green
162,Pale spring bud
163,Very light spring bud
164,Light brilliant spring bud
165,Luminous vivid spring bud
166,Light spring bud
167,Brilliant spring bud
168,Vivid spring bud
169,Moderate spring bud
170,Strong spring bud
171,Dark spring bud
